UNDIRECTED	coref
cat=NOTEXIST,EXIST:exists
372612	paperref:254171	paperref:254168	|	exists=EXIST:P=0.0,1.0
334964	paperref:253953	paperref:257192	|	exists=NOTEXIST:P=1.0,0.0
365505	paperref:254107	paperref:254669	|
343301	paperref:256298	paperref:256045	|	exists=NOTEXIST:P=1.0,0.0
372804	paperref:257605	paperref:255906	|	exists=NOTEXIST:P=1.0,0.0
350955	paperref:254244	paperref:256046	|	exists=NOTEXIST:P=1.0,0.0
366363	paperref:254647	paperref:254650	|	exists=EXIST:P=0.0,1.0
361412	paperref:255646	paperref:253776	|	exists=NOTEXIST:P=1.0,0.0
335473	paperref:254982	paperref:254983	|	exists=EXIST:P=0.0,1.0
345339	paperref:256290	paperref:258742	|	exists=NOTEXIST:P=1.0,0.0
341747	paperref:257715	paperref:258043	|	exists=NOTEXIST:P=1.0,0.0
336765	paperref:257188	paperref:254834	|	exists=NOTEXIST:P=1.0,0.0
369307	paperref:255540	paperref:257184	|	exists=NOTEXIST:P=1.0,0.0
372517	paperref:254632	paperref:254631	|
356429	paperref:255434	paperref:258797	|	exists=NOTEXIST:P=1.0,0.0
351601	paperref:253460	paperref:255316	|	exists=NOTEXIST:P=1.0,0.0
378468	paperref:257057	paperref:254861	|
374372	paperref:253905	paperref:253904	|	exists=EXIST:P=0.0,1.0
352430	paperref:256742	paperref:256099	|	exists=NOTEXIST:P=1.0,0.0
375057	paperref:256598	paperref:256678	|	exists=NOTEXIST:P=1.0,0.0
362433	paperref:257513	paperref:257190	|	exists=NOTEXIST:P=1.0,0.0
333069	paperref:257592	paperref:257593	|	exists=EXIST:P=0.0,1.0
358188	paperref:254278	paperref:257188	|	exists=NOTEXIST:P=1.0,0.0
363801	paperref:258828	paperref:253651	|	exists=NOTEXIST:P=1.0,0.0
362254	paperref:254823	paperref:254824	|	exists=EXIST:P=0.0,1.0
357699	paperref:254536	paperref:258043	|	exists=NOTEXIST:P=1.0,0.0
342418	paperref:253899	paperref:254288	|	exists=NOTEXIST:P=1.0,0.0
367468	paperref:254104	paperref:257206	|	exists=NOTEXIST:P=1.0,0.0
346277	paperref:256750	paperref:256846	|
347620	paperref:256148	paperref:255312	|
331628	paperref:255851	paperref:255677	|	exists=NOTEXIST:P=1.0,0.0
379047	paperref:257218	paperref:258572	|	exists=NOTEXIST:P=1.0,0.0
379096	paperref:258818	paperref:258822	|	exists=EXIST:P=0.0,1.0
358752	paperref:257010	paperref:254890	|	exists=NOTEXIST:P=1.0,0.0
341927	paperref:253893	paperref:256485	|	exists=NOTEXIST:P=1.0,0.0
353253	paperref:257249	paperref:257253	|
369673	paperref:255330	paperref:254949	|
335621	paperref:256767	paperref:256772	|	exists=EXIST:P=0.0,1.0
378495	paperref:257320	paperref:257324	|	exists=EXIST:P=0.0,1.0
362503	paperref:257256	paperref:257196	|	exists=NOTEXIST:P=1.0,0.0
374857	paperref:258674	paperref:257191	|	exists=NOTEXIST:P=1.0,0.0
366241	paperref:253649	paperref:256826	|	exists=NOTEXIST:P=1.0,0.0
339210	paperref:257609	paperref:257224	|	exists=NOTEXIST:P=1.0,0.0
357672	paperref:258132	paperref:258043	|	exists=NOTEXIST:P=1.0,0.0
342538	paperref:257674	paperref:258364	|	exists=NOTEXIST:P=1.0,0.0
362716	paperref:257623	paperref:256387	|	exists=NOTEXIST:P=1.0,0.0
353060	paperref:256747	paperref:257187	|	exists=NOTEXIST:P=1.0,0.0
346170	paperref:254915	paperref:256015	|	exists=NOTEXIST:P=1.0,0.0
376706	paperref:254516	paperref:254517	|	exists=EXIST:P=0.0,1.0
374591	paperref:257197	paperref:256846	|	exists=NOTEXIST:P=1.0,0.0
376096	paperref:256271	paperref:257892	|	exists=NOTEXIST:P=1.0,0.0
378509	paperref:255314	paperref:255310	|	exists=EXIST:P=0.0,1.0
354042	paperref:253845	paperref:257247	|	exists=NOTEXIST:P=1.0,0.0
357944	paperref:258560	paperref:257738	|	exists=NOTEXIST:P=1.0,0.0
344249	paperref:256770	paperref:253943	|
361710	paperref:255644	paperref:255642	|
344884	paperref:257011	paperref:253944	|	exists=NOTEXIST:P=1.0,0.0
342843	paperref:253897	paperref:257256	|
375948	paperref:255263	paperref:255261	|	exists=EXIST:P=0.0,1.0
349868	paperref:256842	paperref:255103	|	exists=NOTEXIST:P=1.0,0.0
356444	paperref:254970	paperref:254338	|	exists=NOTEXIST:P=1.0,0.0
350029	paperref:256197	paperref:253524	|
339835	paperref:257177	paperref:253805	|
343285	paperref:253898	paperref:255100	|	exists=NOTEXIST:P=1.0,0.0
356853	paperref:257179	paperref:258328	|
348061	paperref:258519	paperref:257184	|	exists=NOTEXIST:P=1.0,0.0
335114	paperref:255640	paperref:256766	|
337501	paperref:254837	paperref:254879	|	exists=NOTEXIST:P=1.0,0.0
372775	paperref:256051	paperref:257605	|	exists=NOTEXIST:P=1.0,0.0
366937	paperref:254645	paperref:257538	|	exists=NOTEXIST:P=1.0,0.0
371267	paperref:256038	paperref:254879	|
359976	paperref:254752	paperref:254939	|	exists=NOTEXIST:P=1.0,0.0
347185	paperref:256477	paperref:256865	|	exists=NOTEXIST:P=1.0,0.0
334685	paperref:255727	paperref:256765	|	exists=NOTEXIST:P=1.0,0.0
354297	paperref:258147	paperref:257248	|	exists=NOTEXIST:P=1.0,0.0
360099	paperref:257514	paperref:257888	|	exists=NOTEXIST:P=1.0,0.0
355383	paperref:254403	paperref:253872	|	exists=NOTEXIST:P=1.0,0.0
364078	paperref:257741	paperref:258994	|	exists=NOTEXIST:P=1.0,0.0
336203	paperref:255330	paperref:257221	|
353117	paperref:255352	paperref:255368	|	exists=NOTEXIST:P=1.0,0.0
357695	paperref:256453	paperref:258043	|	exists=NOTEXIST:P=1.0,0.0
342794	paperref:256969	paperref:253897	|	exists=NOTEXIST:P=1.0,0.0
340105	paperref:256051	paperref:258175	|	exists=NOTEXIST:P=1.0,0.0
335683	paperref:257704	paperref:253405	|
339491	paperref:255056	paperref:254100	|	exists=NOTEXIST:P=1.0,0.0
376511	paperref:254519	paperref:254753	|	exists=NOTEXIST:P=1.0,0.0
361977	paperref:256832	paperref:254567	|
341148	paperref:257251	paperref:253895	|	exists=NOTEXIST:P=1.0,0.0
352968	paperref:255369	paperref:255286	|
372579	paperref:256591	paperref:257606	|
347464	paperref:257245	paperref:258154	|
340256	paperref:253803	paperref:253992	|	exists=NOTEXIST:P=1.0,0.0
357948	paperref:258992	paperref:257738	|	exists=NOTEXIST:P=1.0,0.0
349302	paperref:255102	paperref:254290	|
376491	paperref:258582	paperref:256852	|	exists=NOTEXIST:P=1.0,0.0
373738	paperref:254154	paperref:257186	|	exists=NOTEXIST:P=1.0,0.0
342838	paperref:253995	paperref:253897	|	exists=NOTEXIST:P=1.0,0.0
350111	paperref:254001	paperref:255104	|	exists=NOTEXIST:P=1.0,0.0
350013	paperref:258763	paperref:256725	|	exists=NOTEXIST:P=1.0,0.0
362208	paperref:257255	paperref:257196	|	exists=NOTEXIST:P=1.0,0.0
364127	paperref:254111	paperref:257180	|	exists=NOTEXIST:P=1.0,0.0
362537	paperref:253994	paperref:258131	|	exists=NOTEXIST:P=1.0,0.0
356793	paperref:253826	paperref:253827	|
344958	paperref:258768	paperref:256724	|	exists=NOTEXIST:P=1.0,0.0
371605	paperref:256034	paperref:257890	|	exists=NOTEXIST:P=1.0,0.0
337930	paperref:255189	paperref:254682	|
349049	paperref:254476	paperref:253705	|
340544	paperref:257866	paperref:258972	|	exists=NOTEXIST:P=1.0,0.0
348872	paperref:255727	paperref:254949	|
337774	paperref:257595	paperref:258131	|	exists=NOTEXIST:P=1.0,0.0
346569	paperref:255456	paperref:256354	|	exists=NOTEXIST:P=1.0,0.0
372856	paperref:255008	paperref:258572	|	exists=NOTEXIST:P=1.0,0.0
344407	paperref:258616	paperref:253992	|
344098	paperref:254000	paperref:257451	|
351457	paperref:255100	paperref:257256	|	exists=NOTEXIST:P=1.0,0.0
335654	paperref:256595	paperref:256767	|	exists=NOTEXIST:P=1.0,0.0
356320	paperref:254483	paperref:257256	|	exists=NOTEXIST:P=1.0,0.0
352516	paperref:253845	paperref:254792	|	exists=NOTEXIST:P=1.0,0.0
348545	paperref:256385	paperref:254474	|	exists=NOTEXIST:P=1.0,0.0
354714	paperref:257181	paperref:257246	|
372020	paperref:254891	paperref:257198	|	exists=NOTEXIST:P=1.0,0.0
362897	paperref:257258	paperref:258132	|	exists=NOTEXIST:P=1.0,0.0
361549	paperref:256789	paperref:254825	|	exists=NOTEXIST:P=1.0,0.0
334392	paperref:258950	paperref:253952	|	exists=NOTEXIST:P=1.0,0.0
359463	paperref:257190	paperref:257252	|	exists=NOTEXIST:P=1.0,0.0
355046	paperref:257015	paperref:254405	|	exists=NOTEXIST:P=1.0,0.0
367992	paperref:255457	paperref:254519	|	exists=NOTEXIST:P=1.0,0.0
373619	paperref:258003	paperref:258205	|	exists=NOTEXIST:P=1.0,0.0
342711	paperref:255050	paperref:253622	|
374918	paperref:254389	paperref:253569	|
369584	paperref:257185	paperref:258443	|	exists=NOTEXIST:P=1.0,0.0
351557	paperref:256971	paperref:254482	|	exists=NOTEXIST:P=1.0,0.0
338892	paperref:257223	paperref:258258	|	exists=NOTEXIST:P=1.0,0.0
372424	paperref:254893	paperref:254895	|	exists=EXIST:P=0.0,1.0
377147	paperref:256040	paperref:254753	|	exists=NOTEXIST:P=1.0,0.0
360967	paperref:253552	paperref:256037	|	exists=NOTEXIST:P=1.0,0.0
340044	paperref:256869	paperref:253656	|	exists=NOTEXIST:P=1.0,0.0
354355	paperref:254403	paperref:257248	|	exists=NOTEXIST:P=1.0,0.0
348779	paperref:255616	paperref:258746	|	exists=NOTEXIST:P=1.0,0.0
349355	paperref:255102	paperref:254748	|	exists=NOTEXIST:P=1.0,0.0
371120	paperref:258853	paperref:258206	|	exists=NOTEXIST:P=1.0,0.0
368797	paperref:256039	paperref:257176	|	exists=NOTEXIST:P=1.0,0.0
345688	paperref:257634	paperref:258765	|	exists=NOTEXIST:P=1.0,0.0
332997	paperref:253954	paperref:256590	|	exists=NOTEXIST:P=1.0,0.0
379156	paperref:256591	paperref:256652	|
343907	paperref:257664	paperref:257132	|	exists=NOTEXIST:P=1.0,0.0
335002	paperref:253953	paperref:254879	|	exists=NOTEXIST:P=1.0,0.0
358075	paperref:257011	paperref:254949	|	exists=NOTEXIST:P=1.0,0.0
342321	paperref:258402	paperref:256072	|	exists=NOTEXIST:P=1.0,0.0
342006	paperref:256989	paperref:256175	|
332617	paperref:257590	paperref:257199	|	exists=NOTEXIST:P=1.0,0.0
376944	paperref:258675	paperref:255744	|	exists=NOTEXIST:P=1.0,0.0
358785	paperref:257205	paperref:257010	|	exists=NOTEXIST:P=1.0,0.0
354359	paperref:257248	paperref:257196	|	exists=NOTEXIST:P=1.0,0.0
345430	paperref:256969	paperref:258148	|	exists=NOTEXIST:P=1.0,0.0
376809	paperref:257199	paperref:256040	|
346836	paperref:257939	paperref:257946	|	exists=EXIST:P=0.0,1.0
348697	paperref:255285	paperref:257940	|	exists=NOTEXIST:P=1.0,0.0
350696	paperref:256648	paperref:253948	|	exists=NOTEXIST:P=1.0,0.0
357981	paperref:254598	paperref:254277	|	exists=NOTEXIST:P=1.0,0.0
351559	paperref:256971	paperref:256849	|	exists=NOTEXIST:P=1.0,0.0
354467	paperref:257245	paperref:258146	|	exists=NOTEXIST:P=1.0,0.0
352379	paperref:256680	paperref:257600	|	exists=NOTEXIST:P=1.0,0.0
349084	paperref:255615	paperref:255288	|	exists=NOTEXIST:P=1.0,0.0
339662	paperref:255056	paperref:258570	|	exists=NOTEXIST:P=1.0,0.0
362560	paperref:253994	paperref:254751	|	exists=NOTEXIST:P=1.0,0.0
348989	paperref:253666	paperref:255048	|	exists=NOTEXIST:P=1.0,0.0
372690	paperref:256037	paperref:257193	|
334648	paperref:257218	paperref:256765	|	exists=NOTEXIST:P=1.0,0.0
366047	paperref:258645	paperref:256544	|	exists=NOTEXIST:P=1.0,0.0
334831	paperref:254984	paperref:255743	|	exists=NOTEXIST:P=1.0,0.0
357223	paperref:256113	paperref:255288	|	exists=NOTEXIST:P=1.0,0.0
354077	paperref:257170	paperref:258242	|	exists=NOTEXIST:P=1.0,0.0
332941	paperref:253954	paperref:258955	|	exists=NOTEXIST:P=1.0,0.0
373396	paperref:258096	paperref:258092	|	exists=EXIST:P=0.0,1.0
346606	paperref:254515	paperref:256354	|	exists=NOTEXIST:P=1.0,0.0
369147	paperref:258094	paperref:258128	|	exists=NOTEXIST:P=1.0,0.0
347536	paperref:255620	paperref:255619	|
352176	paperref:255226	paperref:256682	|	exists=NOTEXIST:P=1.0,0.0
338143	paperref:257888	paperref:257594	|	exists=NOTEXIST:P=1.0,0.0
343471	paperref:257252	paperref:258618	|	exists=NOTEXIST:P=1.0,0.0
332983	paperref:253954	paperref:253777	|	exists=NOTEXIST:P=1.0,0.0
356010	paperref:257058	paperref:254547	|	exists=NOTEXIST:P=1.0,0.0
352944	paperref:258103	paperref:256891	|
341844	paperref:253893	paperref:253998	|	exists=NOTEXIST:P=1.0,0.0
352855	paperref:254750	paperref:258627	|	exists=NOTEXIST:P=1.0,0.0
349822	paperref:253523	paperref:253524	|	exists=EXIST:P=0.0,1.0
374332	paperref:257195	paperref:255460	|	exists=NOTEXIST:P=1.0,0.0
358656	paperref:258549	paperref:253657	|
353773	paperref:257171	paperref:258668	|	exists=NOTEXIST:P=1.0,0.0
367906	paperref:257538	paperref:254535	|	exists=NOTEXIST:P=1.0,0.0
337883	paperref:254748	paperref:257595	|	exists=NOTEXIST:P=1.0,0.0
334783	paperref:254984	paperref:254149	|	exists=NOTEXIST:P=1.0,0.0
357990	paperref:253789	paperref:254277	|	exists=NOTEXIST:P=1.0,0.0
377461	paperref:258675	paperref:257200	|	exists=NOTEXIST:P=1.0,0.0
348382	paperref:257130	paperref:257328	|	exists=NOTEXIST:P=1.0,0.0
374734	paperref:257190	paperref:256840	|	exists=NOTEXIST:P=1.0,0.0
342158	paperref:253894	paperref:257259	|
334028	paperref:256764	paperref:257226	|	exists=NOTEXIST:P=1.0,0.0
372163	paperref:257600	paperref:254894	|
337994	paperref:255456	paperref:257371	|
336123	paperref:257599	paperref:257010	|
336418	paperref:254601	paperref:254567	|	exists=NOTEXIST:P=1.0,0.0
357097	paperref:256277	paperref:254406	|	exists=NOTEXIST:P=1.0,0.0
343949	paperref:258953	paperref:257218	|	exists=NOTEXIST:P=1.0,0.0
376591	paperref:257325	paperref:257319	|	exists=EXIST:P=0.0,1.0
331887	paperref:254408	paperref:253956	|	exists=NOTEXIST:P=1.0,0.0
359948	paperref:254939	paperref:257204	|
376589	paperref:257324	paperref:257319	|	exists=EXIST:P=0.0,1.0
374411	paperref:254518	paperref:257196	|	exists=NOTEXIST:P=1.0,0.0
377151	paperref:254752	paperref:256040	|
354590	paperref:253516	paperref:254625	|	exists=NOTEXIST:P=1.0,0.0
349091	paperref:255615	paperref:255287	|
367842	paperref:257816	paperref:256723	|	exists=NOTEXIST:P=1.0,0.0
378491	paperref:257324	paperref:257322	|
376411	paperref:253623	paperref:253622	|	exists=EXIST:P=0.0,1.0
356375	paperref:254408	paperref:256598	|
355087	paperref:258740	paperref:253455	|	exists=NOTEXIST:P=1.0,0.0
349882	paperref:255103	paperref:256845	|	exists=NOTEXIST:P=1.0,0.0
344730	paperref:257450	paperref:253845	|	exists=NOTEXIST:P=1.0,0.0
378624	paperref:256378	paperref:256377	|
362992	paperref:257194	paperref:254400	|	exists=NOTEXIST:P=1.0,0.0
361861	paperref:255641	paperref:257602	|	exists=NOTEXIST:P=1.0,0.0
340958	paperref:256742	paperref:258372	|
336975	paperref:254835	paperref:256845	|
335056	paperref:256598	paperref:256766	|	exists=NOTEXIST:P=1.0,0.0
335753	paperref:253951	paperref:257470	|	exists=NOTEXIST:P=1.0,0.0
364587	paperref:256123	paperref:254000	|	exists=NOTEXIST:P=1.0,0.0
345585	paperref:254288	paperref:256966	|	exists=NOTEXIST:P=1.0,0.0
337472	paperref:254837	paperref:253551	|	exists=NOTEXIST:P=1.0,0.0
362103	paperref:257512	paperref:257892	|	exists=NOTEXIST:P=1.0,0.0
347471	paperref:257176	paperref:258154	|	exists=NOTEXIST:P=1.0,0.0
361571	paperref:254398	paperref:254825	|	exists=NOTEXIST:P=1.0,0.0
367706	paperref:255346	paperref:257197	|
348849	paperref:258238	paperref:254475	|
336139	paperref:258950	paperref:257221	|
334673	paperref:256765	paperref:256589	|	exists=NOTEXIST:P=1.0,0.0
374523	paperref:253908	paperref:253906	|
370305	paperref:257181	paperref:257205	|	exists=NOTEXIST:P=1.0,0.0
340398	paperref:253802	paperref:258148	|	exists=NOTEXIST:P=1.0,0.0
377568	paperref:257538	paperref:258131	|	exists=NOTEXIST:P=1.0,0.0
366110	paperref:254186	paperref:254187	|	exists=EXIST:P=0.0,1.0
360707	paperref:253553	paperref:255285	|	exists=NOTEXIST:P=1.0,0.0
354867	paperref:257740	paperref:256899	|	exists=NOTEXIST:P=1.0,0.0
356928	paperref:254481	paperref:258146	|
347796	paperref:258582	paperref:256567	|	exists=NOTEXIST:P=1.0,0.0
333196	paperref:254886	paperref:258683	|	exists=NOTEXIST:P=1.0,0.0
339920	paperref:253804	paperref:254485	|	exists=NOTEXIST:P=1.0,0.0
357497	paperref:258041	paperref:255290	|	exists=NOTEXIST:P=1.0,0.0
364681	paperref:257184	paperref:254114	|	exists=NOTEXIST:P=1.0,0.0
373241	paperref:256277	paperref:254522	|	exists=NOTEXIST:P=1.0,0.0
336895	paperref:256367	paperref:258220	|	exists=NOTEXIST:P=1.0,0.0
340078	paperref:258346	paperref:258175	|
365555	paperref:256177	paperref:253738	|	exists=NOTEXIST:P=1.0,0.0
339477	paperref:255056	paperref:255287	|
333347	paperref:257841	paperref:254683	|	exists=NOTEXIST:P=1.0,0.0
356559	paperref:256111	paperref:256390	|	exists=NOTEXIST:P=1.0,0.0
379426	paperref:253845	paperref:256597	|
336069	paperref:257599	paperref:255224	|	exists=NOTEXIST:P=1.0,0.0
369309	paperref:254516	paperref:257184	|	exists=NOTEXIST:P=1.0,0.0
363187	paperref:253996	paperref:257893	|	exists=NOTEXIST:P=1.0,0.0
362742	paperref:254384	paperref:254821	|	exists=NOTEXIST:P=1.0,0.0
355932	paperref:257014	paperref:256593	|	exists=NOTEXIST:P=1.0,0.0
333570	paperref:253955	paperref:257973	|
342134	paperref:253894	paperref:257254	|
376579	paperref:258148	paperref:258152	|	exists=EXIST:P=0.0,1.0
356256	paperref:257955	paperref:257956	|	exists=EXIST:P=0.0,1.0
368680	paperref:257177	paperref:254523	|	exists=NOTEXIST:P=1.0,0.0
332344	paperref:258806	paperref:254175	|	exists=NOTEXIST:P=1.0,0.0
361006	paperref:253552	paperref:256487	|
349923	paperref:256976	paperref:258042	|	exists=NOTEXIST:P=1.0,0.0
356679	paperref:253828	paperref:257601	|	exists=NOTEXIST:P=1.0,0.0
372887	paperref:257604	paperref:256771	|	exists=NOTEXIST:P=1.0,0.0
376458	paperref:256650	paperref:255975	|	exists=NOTEXIST:P=1.0,0.0
377376	paperref:253845	paperref:254010	|	exists=NOTEXIST:P=1.0,0.0
372755	paperref:257605	paperref:254151	|
350271	paperref:255375	paperref:254753	|	exists=NOTEXIST:P=1.0,0.0
369981	paperref:254891	paperref:257183	|	exists=NOTEXIST:P=1.0,0.0
343005	paperref:254151	paperref:253958	|	exists=NOTEXIST:P=1.0,0.0
375182	paperref:257193	paperref:254887	|
353994	paperref:257247	paperref:257176	|	exists=NOTEXIST:P=1.0,0.0
373145	paperref:256453	paperref:256452	|	exists=EXIST:P=0.0,1.0
376113	paperref:257316	paperref:257322	|	exists=EXIST:P=0.0,1.0
343476	paperref:258616	paperref:258618	|	exists=EXIST:P=0.0,1.0
358327	paperref:257012	paperref:257192	|	exists=NOTEXIST:P=1.0,0.0
370912	paperref:255805	paperref:253842	|
353053	paperref:256747	paperref:256842	|	exists=NOTEXIST:P=1.0,0.0
364406	paperref:253654	paperref:256825	|	exists=NOTEXIST:P=1.0,0.0
362696	paperref:257257	paperref:257197	|
376611	paperref:254518	paperref:257219	|	exists=NOTEXIST:P=1.0,0.0
347590	paperref:258107	paperref:256208	|
373169	paperref:256391	paperref:256393	|	exists=EXIST:P=0.0,1.0
376285	paperref:256047	paperref:257199	|
345643	paperref:256966	paperref:257891	|	exists=NOTEXIST:P=1.0,0.0
375204	paperref:256677	paperref:255904	|	exists=NOTEXIST:P=1.0,0.0
374833	paperref:257191	paperref:255744	|	exists=NOTEXIST:P=1.0,0.0
347724	paperref:253675	paperref:256202	|
345896	paperref:256967	paperref:253992	|
367177	paperref:255288	paperref:254599	|
376539	paperref:258291	paperref:253482	|	exists=NOTEXIST:P=1.0,0.0
340120	paperref:254149	paperref:254151	|
335076	paperref:253950	paperref:256766	|	exists=NOTEXIST:P=1.0,0.0
344421	paperref:258616	paperref:258673	|
336915	paperref:256367	paperref:256658	|	exists=NOTEXIST:P=1.0,0.0
371241	paperref:256107	paperref:258854	|	exists=NOTEXIST:P=1.0,0.0
372993	paperref:256039	paperref:257889	|	exists=NOTEXIST:P=1.0,0.0
345694	paperref:258765	paperref:255932	|	exists=NOTEXIST:P=1.0,0.0
374537	paperref:254289	paperref:257885	|	exists=NOTEXIST:P=1.0,0.0
346601	paperref:256354	paperref:255460	|	exists=NOTEXIST:P=1.0,0.0
356410	paperref:254408	paperref:253876	|	exists=NOTEXIST:P=1.0,0.0
339905	paperref:253804	paperref:256186	|	exists=NOTEXIST:P=1.0,0.0
358286	paperref:257012	paperref:257601	|	exists=NOTEXIST:P=1.0,0.0
347345	paperref:258955	paperref:257602	|	exists=NOTEXIST:P=1.0,0.0
333215	paperref:257182	paperref:258683	|	exists=NOTEXIST:P=1.0,0.0
337610	paperref:254577	paperref:253567	|	exists=NOTEXIST:P=1.0,0.0
378156	paperref:254002	paperref:258151	|	exists=NOTEXIST:P=1.0,0.0
367202	paperref:255288	paperref:253725	|	exists=NOTEXIST:P=1.0,0.0
336846	paperref:257222	paperref:257133	|	exists=NOTEXIST:P=1.0,0.0
