UNDIRECTED	coref
cat=NOTEXIST,EXIST:exists
114813	paperref:3622	paperref:3898	|	exists=NOTEXIST:P=1.0,0.0
129680	paperref:1171	paperref:4260	|	exists=NOTEXIST:P=1.0,0.0
102661	paperref:650	paperref:4799	|	exists=NOTEXIST:P=1.0,0.0
113535	paperref:4257	paperref:3851	|
88659	paperref:2309	paperref:2440	|	exists=NOTEXIST:P=1.0,0.0
121953	paperref:607	paperref:2556	|	exists=NOTEXIST:P=1.0,0.0
113487	paperref:3851	paperref:3244	|	exists=NOTEXIST:P=1.0,0.0
75398	paperref:5330	paperref:267	|
106001	paperref:5364	paperref:1461	|
106329	paperref:578	paperref:4795	|	exists=NOTEXIST:P=1.0,0.0
104732	paperref:610	paperref:3331	|
123580	paperref:4883	paperref:3666	|	exists=NOTEXIST:P=1.0,0.0
114365	paperref:4702	paperref:1903	|	exists=NOTEXIST:P=1.0,0.0
80571	paperref:5335	paperref:4598	|
133044	paperref:2192	paperref:1638	|
80512	paperref:2021	paperref:546	|	exists=NOTEXIST:P=1.0,0.0
105279	paperref:3873	paperref:4881	|	exists=NOTEXIST:P=1.0,0.0
128923	paperref:3665	paperref:2555	|	exists=NOTEXIST:P=1.0,0.0
87375	paperref:3829	paperref:4805	|	exists=NOTEXIST:P=1.0,0.0
92800	paperref:2929	paperref:597	|
121339	paperref:753	paperref:601	|
109222	paperref:5213	paperref:5646	|	exists=NOTEXIST:P=1.0,0.0
103321	paperref:785	paperref:1745	|	exists=NOTEXIST:P=1.0,0.0
125822	paperref:69	paperref:67	|	exists=EXIST:P=0.0,1.0
102205	paperref:547	paperref:3905	|	exists=NOTEXIST:P=1.0,0.0
129979	paperref:5420	paperref:1452	|	exists=NOTEXIST:P=1.0,0.0
124312	paperref:4251	paperref:959	|	exists=NOTEXIST:P=1.0,0.0
83601	paperref:4170	paperref:645	|	exists=NOTEXIST:P=1.0,0.0
105709	paperref:3900	paperref:544	|	exists=NOTEXIST:P=1.0,0.0
97607	paperref:3834	paperref:1539	|	exists=NOTEXIST:P=1.0,0.0
98878	paperref:5464	paperref:4747	|	exists=NOTEXIST:P=1.0,0.0
123669	paperref:4600	paperref:5171	|	exists=NOTEXIST:P=1.0,0.0
75856	paperref:3972	paperref:1147	|	exists=NOTEXIST:P=1.0,0.0
125377	paperref:4694	paperref:4367	|
76352	paperref:2179	paperref:3871	|	exists=NOTEXIST:P=1.0,0.0
123127	paperref:4190	paperref:1938	|
130827	paperref:3947	paperref:3450	|	exists=NOTEXIST:P=1.0,0.0
99006	paperref:2559	paperref:599	|
89038	paperref:106	paperref:4651	|
95015	paperref:4754	paperref:5463	|
118449	paperref:3423	paperref:3243	|
108975	paperref:3851	paperref:549	|
133034	paperref:2193	paperref:2187	|	exists=EXIST:P=0.0,1.0
97497	paperref:4336	paperref:1274	|
119885	paperref:4592	paperref:761	|	exists=NOTEXIST:P=1.0,0.0
110098	paperref:1717	paperref:1239	|	exists=NOTEXIST:P=1.0,0.0
117747	paperref:497	paperref:1546	|	exists=NOTEXIST:P=1.0,0.0
131044	paperref:4798	paperref:4799	|	exists=EXIST:P=0.0,1.0
111076	paperref:1532	paperref:2187	|	exists=NOTEXIST:P=1.0,0.0
104573	paperref:3125	paperref:3840	|	exists=NOTEXIST:P=1.0,0.0
76442	paperref:1076	paperref:1964	|	exists=NOTEXIST:P=1.0,0.0
108094	paperref:1253	paperref:203	|
124897	paperref:5223	paperref:1329	|	exists=NOTEXIST:P=1.0,0.0
103488	paperref:3908	paperref:3621	|
121767	paperref:752	paperref:1637	|	exists=NOTEXIST:P=1.0,0.0
77515	paperref:4242	paperref:1403	|	exists=NOTEXIST:P=1.0,0.0
116790	paperref:576	paperref:4294	|	exists=NOTEXIST:P=1.0,0.0
93012	paperref:4165	paperref:2686	|	exists=NOTEXIST:P=1.0,0.0
108518	paperref:4636	paperref:1919	|	exists=NOTEXIST:P=1.0,0.0
105604	paperref:1128	paperref:3037	|	exists=NOTEXIST:P=1.0,0.0
94465	paperref:4542	paperref:549	|	exists=NOTEXIST:P=1.0,0.0
84364	paperref:5567	paperref:4257	|	exists=NOTEXIST:P=1.0,0.0
85102	paperref:4654	paperref:1903	|	exists=NOTEXIST:P=1.0,0.0
126937	paperref:4244	paperref:70	|	exists=NOTEXIST:P=1.0,0.0
108662	paperref:4871	paperref:1277	|	exists=NOTEXIST:P=1.0,0.0
115584	paperref:3250	paperref:2558	|
133641	paperref:2700	paperref:2703	|
111976	paperref:2692	paperref:2027	|	exists=NOTEXIST:P=1.0,0.0
80698	paperref:2923	paperref:4545	|
91475	paperref:4971	paperref:5282	|	exists=NOTEXIST:P=1.0,0.0
125880	paperref:4259	paperref:1057	|
81754	paperref:222	paperref:2804	|	exists=NOTEXIST:P=1.0,0.0
84772	paperref:4257	paperref:443	|	exists=NOTEXIST:P=1.0,0.0
91990	paperref:4798	paperref:4537	|	exists=NOTEXIST:P=1.0,0.0
90234	paperref:1133	paperref:3495	|	exists=NOTEXIST:P=1.0,0.0
98091	paperref:3835	paperref:3246	|
86374	paperref:3124	paperref:3827	|	exists=NOTEXIST:P=1.0,0.0
78194	paperref:4	paperref:3611	|	exists=NOTEXIST:P=1.0,0.0
82140	paperref:20	paperref:2797	|	exists=NOTEXIST:P=1.0,0.0
78163	paperref:5270	paperref:3898	|	exists=NOTEXIST:P=1.0,0.0
132987	paperref:1307	paperref:1632	|	exists=NOTEXIST:P=1.0,0.0
78931	paperref:1933	paperref:3063	|	exists=NOTEXIST:P=1.0,0.0
127946	paperref:1712	paperref:256	|	exists=NOTEXIST:P=1.0,0.0
95601	paperref:3	paperref:3530	|	exists=NOTEXIST:P=1.0,0.0
80744	paperref:4545	paperref:2687	|	exists=NOTEXIST:P=1.0,0.0
118827	paperref:3240	paperref:1304	|	exists=NOTEXIST:P=1.0,0.0
98396	paperref:5135	paperref:1475	|
113716	paperref:840	paperref:4296	|	exists=NOTEXIST:P=1.0,0.0
81588	paperref:5456	paperref:3902	|	exists=NOTEXIST:P=1.0,0.0
79780	paperref:4543	paperref:2773	|	exists=NOTEXIST:P=1.0,0.0
125340	paperref:4254	paperref:3877	|	exists=NOTEXIST:P=1.0,0.0
105381	paperref:4880	paperref:1058	|
90554	paperref:3831	paperref:4800	|	exists=NOTEXIST:P=1.0,0.0
128642	paperref:610	paperref:612	|	exists=EXIST:P=0.0,1.0
125128	paperref:4255	paperref:4260	|
77322	paperref:3976	paperref:773	|	exists=NOTEXIST:P=1.0,0.0
107665	paperref:4367	paperref:3494	|
102438	paperref:3845	paperref:4245	|	exists=NOTEXIST:P=1.0,0.0
134065	paperref:1380	paperref:2706	|	exists=NOTEXIST:P=1.0,0.0
99404	paperref:3838	paperref:5116	|	exists=NOTEXIST:P=1.0,0.0
117683	paperref:896	paperref:822	|	exists=NOTEXIST:P=1.0,0.0
112926	paperref:622	paperref:1006	|	exists=NOTEXIST:P=1.0,0.0
134514	paperref:2759	paperref:2757	|
90591	paperref:3831	paperref:452	|	exists=NOTEXIST:P=1.0,0.0
130129	paperref:797	paperref:1037	|	exists=NOTEXIST:P=1.0,0.0
93960	paperref:4541	paperref:4804	|	exists=NOTEXIST:P=1.0,0.0
116979	paperref:808	paperref:5474	|
122922	paperref:2707	paperref:3023	|	exists=NOTEXIST:P=1.0,0.0
103885	paperref:3107	paperref:1940	|
88843	paperref:597	paperref:5064	|	exists=NOTEXIST:P=1.0,0.0
134383	paperref:4244	paperref:3897	|	exists=NOTEXIST:P=1.0,0.0
119056	paperref:757	paperref:1708	|	exists=NOTEXIST:P=1.0,0.0
119918	paperref:564	paperref:565	|
122298	paperref:3420	paperref:2204	|
88447	paperref:650	paperref:1137	|
84746	paperref:3851	paperref:443	|	exists=NOTEXIST:P=1.0,0.0
115967	paperref:1880	paperref:2559	|	exists=NOTEXIST:P=1.0,0.0
125281	paperref:3664	paperref:4254	|	exists=NOTEXIST:P=1.0,0.0
81864	paperref:3618	paperref:4539	|	exists=NOTEXIST:P=1.0,0.0
106451	paperref:206	paperref:3851	|	exists=NOTEXIST:P=1.0,0.0
100399	paperref:597	paperref:3328	|
75471	paperref:4103	paperref:3104	|
90307	paperref:1133	paperref:2692	|	exists=NOTEXIST:P=1.0,0.0
77905	paperref:2804	paperref:2870	|
84597	paperref:2944	paperref:4653	|	exists=NOTEXIST:P=1.0,0.0
94290	paperref:302	paperref:1617	|	exists=NOTEXIST:P=1.0,0.0
95312	paperref:2380	paperref:5638	|	exists=NOTEXIST:P=1.0,0.0
83827	paperref:4550	paperref:3127	|	exists=NOTEXIST:P=1.0,0.0
86013	paperref:1050	paperref:5450	|	exists=NOTEXIST:P=1.0,0.0
105942	paperref:3900	paperref:3902	|	exists=EXIST:P=0.0,1.0
91334	paperref:3830	paperref:2688	|	exists=NOTEXIST:P=1.0,0.0
88904	paperref:1499	paperref:1138	|	exists=NOTEXIST:P=1.0,0.0
79749	paperref:4543	paperref:3904	|	exists=NOTEXIST:P=1.0,0.0
124582	paperref:979	paperref:1199	|	exists=NOTEXIST:P=1.0,0.0
85462	paperref:274	paperref:3304	|	exists=NOTEXIST:P=1.0,0.0
99102	paperref:2297	paperref:599	|	exists=NOTEXIST:P=1.0,0.0
108058	paperref:1170	paperref:203	|	exists=NOTEXIST:P=1.0,0.0
88161	paperref:1136	paperref:546	|	exists=NOTEXIST:P=1.0,0.0
80391	paperref:4	paperref:1408	|	exists=NOTEXIST:P=1.0,0.0
76713	paperref:1188	paperref:4316	|	exists=NOTEXIST:P=1.0,0.0
127316	paperref:419	paperref:1716	|	exists=NOTEXIST:P=1.0,0.0
112473	paperref:4248	paperref:2690	|	exists=NOTEXIST:P=1.0,0.0
77035	paperref:421	paperref:1075	|	exists=NOTEXIST:P=1.0,0.0
112368	paperref:3039	paperref:1919	|
96085	paperref:4999	paperref:5001	|	exists=EXIST:P=0.0,1.0
116372	paperref:296	paperref:5487	|	exists=NOTEXIST:P=1.0,0.0
99762	paperref:598	paperref:2188	|	exists=NOTEXIST:P=1.0,0.0
121008	paperref:609	paperref:3662	|	exists=NOTEXIST:P=1.0,0.0
121733	paperref:4261	paperref:752	|	exists=NOTEXIST:P=1.0,0.0
105431	paperref:4880	paperref:990	|	exists=NOTEXIST:P=1.0,0.0
126829	paperref:5024	paperref:5224	|	exists=NOTEXIST:P=1.0,0.0
102110	paperref:803	paperref:1641	|	exists=NOTEXIST:P=1.0,0.0
114725	paperref:4783	paperref:1939	|	exists=NOTEXIST:P=1.0,0.0
88839	paperref:5064	paperref:598	|	exists=NOTEXIST:P=1.0,0.0
84737	paperref:602	paperref:443	|
112555	paperref:3878	paperref:4136	|	exists=NOTEXIST:P=1.0,0.0
91118	paperref:664	paperref:3531	|
107403	paperref:3419	paperref:4257	|	exists=NOTEXIST:P=1.0,0.0
82960	paperref:603	paperref:524	|	exists=NOTEXIST:P=1.0,0.0
89712	paperref:759	paperref:3832	|	exists=NOTEXIST:P=1.0,0.0
92297	paperref:5326	paperref:5325	|	exists=EXIST:P=0.0,1.0
129130	paperref:1041	paperref:2819	|	exists=NOTEXIST:P=1.0,0.0
130787	paperref:1996	paperref:762	|
78186	paperref:3839	paperref:5270	|
128374	paperref:495	paperref:3367	|
111546	paperref:1533	paperref:3849	|	exists=NOTEXIST:P=1.0,0.0
134445	paperref:2292	paperref:2181	|	exists=NOTEXIST:P=1.0,0.0
134437	paperref:2296	paperref:5224	|	exists=NOTEXIST:P=1.0,0.0
99273	paperref:3838	paperref:4253	|	exists=NOTEXIST:P=1.0,0.0
83786	paperref:3839	paperref:1490	|	exists=NOTEXIST:P=1.0,0.0
131337	paperref:5072	paperref:1853	|	exists=NOTEXIST:P=1.0,0.0
128292	paperref:4589	paperref:1998	|	exists=NOTEXIST:P=1.0,0.0
123108	paperref:4694	paperref:1938	|	exists=NOTEXIST:P=1.0,0.0
125630	paperref:2333	paperref:2334	|
130165	paperref:3334	paperref:2181	|	exists=NOTEXIST:P=1.0,0.0
94171	paperref:1312	paperref:596	|	exists=NOTEXIST:P=1.0,0.0
81589	paperref:4541	paperref:5456	|	exists=NOTEXIST:P=1.0,0.0
82782	paperref:3845	paperref:3399	|	exists=NOTEXIST:P=1.0,0.0
77088	paperref:3171	paperref:1133	|	exists=NOTEXIST:P=1.0,0.0
130365	paperref:3874	paperref:5607	|	exists=NOTEXIST:P=1.0,0.0
94946	paperref:3531	paperref:1521	|	exists=NOTEXIST:P=1.0,0.0
124476	paperref:4893	paperref:256	|	exists=NOTEXIST:P=1.0,0.0
119449	paperref:3579	paperref:3241	|	exists=NOTEXIST:P=1.0,0.0
77232	paperref:1098	paperref:5054	|	exists=NOTEXIST:P=1.0,0.0
104025	paperref:1531	paperref:3909	|	exists=NOTEXIST:P=1.0,0.0
115163	paperref:5448	paperref:2086	|
93826	paperref:3983	paperref:5083	|	exists=NOTEXIST:P=1.0,0.0
109873	paperref:5589	paperref:2813	|
81930	paperref:3618	paperref:647	|	exists=NOTEXIST:P=1.0,0.0
113818	paperref:3850	paperref:4262	|	exists=NOTEXIST:P=1.0,0.0
93630	paperref:941	paperref:4243	|	exists=NOTEXIST:P=1.0,0.0
91686	paperref:5328	paperref:3905	|	exists=NOTEXIST:P=1.0,0.0
124454	paperref:1422	paperref:262	|	exists=NOTEXIST:P=1.0,0.0
134267	paperref:255	paperref:257	|
132855	paperref:2197	paperref:1175	|	exists=NOTEXIST:P=1.0,0.0
121837	paperref:3870	paperref:3421	|
85751	paperref:1219	paperref:1187	|	exists=NOTEXIST:P=1.0,0.0
79295	paperref:3874	paperref:1878	|
105065	paperref:2586	paperref:5419	|	exists=NOTEXIST:P=1.0,0.0
100474	paperref:653	paperref:545	|
94718	paperref:595	paperref:2297	|
76578	paperref:4102	paperref:3832	|	exists=NOTEXIST:P=1.0,0.0
120700	paperref:3243	paperref:3334	|	exists=NOTEXIST:P=1.0,0.0
98170	paperref:3835	paperref:3493	|	exists=NOTEXIST:P=1.0,0.0
87986	paperref:940	paperref:1136	|	exists=NOTEXIST:P=1.0,0.0
131945	paperref:2540	paperref:145	|	exists=NOTEXIST:P=1.0,0.0
100625	paperref:428	paperref:610	|	exists=NOTEXIST:P=1.0,0.0
114796	paperref:3622	paperref:552	|	exists=NOTEXIST:P=1.0,0.0
122600	paperref:3247	paperref:3875	|
86689	paperref:3549	paperref:4391	|	exists=NOTEXIST:P=1.0,0.0
99837	paperref:3839	paperref:3907	|	exists=NOTEXIST:P=1.0,0.0
98241	paperref:3835	paperref:3871	|
93145	paperref:1869	paperref:2587	|
93920	paperref:4222	paperref:5075	|	exists=NOTEXIST:P=1.0,0.0
